Feature,Importance
Realized_Vol_20d,0.27543348
India_Avg_Goldstein,0.15772939
DTWEXBGS,0.096447855
Goldstein_Avg,0.082468525
DCOILWTICO,0.0619601
Goldstein_Weighted,0.044331636
DGS10,0.043157477
USA_India_Sentiment_Diff,0.041010853
USA_Avg_Goldstein,0.036584947
Panic_Magnitude,0.036079165
News_Shock,0.017391715
Tone_Policy,0.014595676
Tone_Overall,0.012771845
Tone_Corporate,0.011159451
Tone_Conflict,0.010972954
Realized_Vol_5d,0.010624755
Tone_Economy,0.010158084
Diff_Stability,0.009256072
GARCH_Vol_Lag1,0.008932361
GARCH_Vol,0.005635532
Volume_Spike,0.0040601324
Volume_Spike_Conflict,0.0026213983
Panic_Index,0.0024917682
GARCH_Vol_Change,0.0022718962
Volume_Spike_Economy,0.0018528713
Is_Relief,0.0
Is_Panic,0.0
DFF,0.0
