Day,Mean,Median,5th_Percentile,25th_Percentile,75th_Percentile,95th_Percentile
0,89.9000000000153,89.9,89.9,89.9,89.9,89.9
1,89.9193593776049,89.91701877839472,89.512774124693,89.76468108564825,90.07439538186104,90.3332710575822
2,89.93254295355526,89.9317055900004,89.34643853558525,89.7124275194796,90.15576286055818,90.52115092881644
3,89.95007022436478,89.95243811649422,89.23046987863958,89.6771177577175,90.22099377913136,90.67871470025248
4,89.97103874115616,89.97273395752988,89.14280912197643,89.65256642075792,90.28594143453468,90.8157568187038
5,89.98567590077595,89.98187947890094,89.07144221922843,89.63045665645572,90.33118718469044,90.9216275294133
6,90.0000609365184,89.9970317470875,88.99844612671444,89.61238726137537,90.39233519187232,91.01763702793323
7,90.0180922600394,90.0160128981481,88.9319273596592,89.59833663057489,90.44615941850334,91.10433459242364
8,90.03189850697427,90.02333833438959,88.87548735754352,89.57778170030556,90.4934764115466,91.19452068032882
9,90.04680320324938,90.03836275089664,88.81910325042978,89.56385144459841,90.54016654825728,91.28415201596952
10,90.0643080312764,90.06408429275064,88.76909745906309,89.55863174428667,90.58161098841504,91.36554076990646
11,90.07945191547348,90.08486520296576,88.7321655351624,89.54103610231063,90.61949711823496,91.42897613564134
12,90.094338171523,90.09063324052518,88.680341652911,89.53412762692108,90.64985135258712,91.50263599592208
13,90.11011102293271,90.1108840896682,88.65999577675439,89.52123799241078,90.68904673688668,91.56166905659856
14,90.12371734932736,90.12655149363891,88.6254029125967,89.51904316096233,90.72348605376932,91.63478882187182
15,90.14102511558168,90.13825182528808,88.62049865755257,89.50500028155555,90.76279022011354,91.68855852346194
16,90.15626405395884,90.14968492383966,88.58784094061699,89.51027681734396,90.80239776900858,91.76191490687222
17,90.1721235167124,90.1720373802637,88.51511298858627,89.51932772766288,90.82987037800822,91.83456611941546
18,90.18652150541531,90.18118222942468,88.49092464758228,89.51054583179472,90.86005660525366,91.8963611483006
19,90.20048351960162,90.19494380325996,88.47068404432164,89.50354327320017,90.88497105786708,91.94255141077365
20,90.21716106551338,90.22268396005036,88.449321828083,89.50192080972721,90.9214292824989,91.9954174477845
21,90.23535910507492,90.22767328531272,88.43095795727245,89.50455503106525,90.95202065311597,92.08398199027997
22,90.25309937217396,90.24212785065156,88.40338559871768,89.5072616811354,90.9959547906564,92.12530075017102
23,90.27234224693989,90.26431172730318,88.36732860031766,89.50816773152157,91.0333035014987,92.19479418455305
24,90.28495269106108,90.2615241353416,88.38025084281612,89.50542917779914,91.06854092478656,92.25879688632575
25,90.2988517435725,90.27819378972552,88.330576387847,89.5023942903285,91.08986476955096,92.31915859618464
26,90.31632497390235,90.29034386751243,88.29134956233251,89.50203811552984,91.11595314615802,92.38070685846108
27,90.33405035876744,90.31739114266608,88.28694581646386,89.49771287570408,91.15814677761205,92.41747095357988
28,90.35019651521836,90.34059106832214,88.24906211539057,89.50045993061954,91.19690862151916,92.47351861649926
29,90.36815724880216,90.36660791115509,88.22951786355168,89.49119254486023,91.22079700971676,92.5462129873092
30,90.38321170109172,90.37028397972097,88.23248033817099,89.50544156552769,91.26488564109673,92.61821000993524
