fetch_year,exports,imports,trade_balance,surplus_deficit
2010,19248886968,29532939005,-10284052037,Deficit
2011,21542184381,36154495638,-14612311257,Deficit
2012,22105737858,40512644038,-18406906180,Deficit
2013,21810447551,41809988752,-19999541201,Deficit
2014,21499085305,45357982213,-23858896908,Deficit
2015,21452908500,44782656358,-23329747858,Deficit
2016,21647177648,46024248727,-24377071079,Deficit
2017,25647817925,48549442371,-22901624446,Deficit
2018,33176580969,54249561527,-21072980558,Deficit
2019,34222774808,57878981681,-23656206873,Deficit
2020,27081657766,51254588173,-24172930407,Deficit
2021,39817425746,73308215745,-33490789999,Deficit
2022,46819202978,85517362090,-38698159112,Deficit
2023,40317521829,83557090891,-43239569062,Deficit
2024,41536952116,87338082770,-45801130654,Deficit
